# mangaid     objra           objdec             nsa_z       W80_mean             W80_75th             frac_spx                flag1   flag2  
  1-145920    119.356842737   27.4403778         0.0266886   236.3941831053032    242.01277955799827   0.2116788321167883      0       0      
  1-145922    119.314391101   27.4960155494      0.026607    399.81363153162374   443.29073483395723   0.06016042780748663     0       0      
  1-145963    119.884750278   27.9417139356      0.0220864   224.31872500633366   226.43769968545382   0.6087636932707355      0       0      
  1-145995    119.19856416    28.2167208877      0.0408828   ""                   ""                   0.0                     0       0      
  1-146001    119.066492744   28.1482205204      0.0463216   209.84436597808718   220.4472843498598    0.5474919957310566      0       0      
  1-146028    118.592626166   27.0088036339      0.0266183   200.52632769139856   207.26837061155297   0.4520255863539446      0       0      
  1-146046    118.323963177   27.4607379561      0.026801    ""                   ""                   0.0                     0       0      
  1-146106    119.174197002   28.3718488174      0.0221393   192.49100174319145   194.08945687324615   0.5163398692810458      0       0      
  1-147394    140.39879069    43.2572462761      0.0160493   203.44445225080995   210.8626198129094    0.6022058823529411      0       0      
  1-147475    153.13479279    46.6953613957      0.0381522   198.43198978953316   201.27795527595896   0.4501557632398754      0       0      
  1-147485    151.829104575   46.5464374903      0.0239375   204.77008097263376   207.268370611553     0.46450989859971026     0       0      
  1-147488    153.21425096    46.9128221111      0.0241526   270.1534004981237    249.20127796071108   0.49176470588235294     0       0      
  1-147496    153.213639346   47.2949237539      0.0395361   210.74484983277674   210.8626198129094    0.6396614268440145      0       0      
  1-147507    152.773273523   46.8995324281      0.0250793   ""                   ""                   0.0                     0       0      
  1-147514    151.309949901   46.6508890341      0.0251003   ""                   ""                   0.0                     0       0      
  1-147521    152.545357653   46.9522671141      0.0253024   308.0334622565976    329.47284345767093   0.03171953255425709     1       4      
  1-147522    152.514716814   47.1209306545      0.0653628   ""                   ""                   0.0                     0       0      
  1-147537    151.547771122   47.2950386608      0.0381068   206.58375171605653   221.3458466501989    0.12973883740522324     0       0      
  1-147546    151.233963795   46.7237362775      0.0245447   212.99254526556507   223.44249201765683   0.046875                0       0      
  1-147547    151.216783448   46.6900168248      0.0236803   ""                   ""                   0.0                     0       0      
  1-147548    151.311297189   46.7529150558      0.0232825   189.69648562714386   186.90095847053334   0.07258064516129033     0       0      
  1-147602    151.729558675   47.9841111295      0.067855    ""                   ""                   0.0                     0       0      
  1-147649    152.046182936   47.5174726058      0.0384484   193.6231509396084    202.4760383430778    0.5269035532994923      0       0      
  1-147685    156.044276918   47.5239549356      0.0425735   230.854361839663     215.6549520813846    0.3400576368876081      0       0      
  1-147787    154.119427243   47.3648162968      0.0403757   240.4402955324049    273.16293930308717   0.2711864406779661      0       0      
  1-147815    153.365546207   47.516235898       0.0253396   358.56379793114934   359.12539936886134   0.25196850393700787     1       2      
  1-147863    153.685061429   48.689638952       0.0632026   169.65898041764967   177.9153354671423    0.02233009708737864     0       0      
  1-148046    157.77930272    48.0148303874      0.058703    210.22601461882977   220.4472843498598    0.9983525535420099      0       0      
  1-148068    156.805684986   48.2447914261      0.0609631   197.15312643059278   197.68370607460258   0.05927180355630821     0       0      
  1-148086    156.699612286   48.1290396768      0.133195    ""                   ""                   0.0                     0       0      
  1-148127    156.298016415   47.7390794143      0.0621072   ""                   ""                   0.0                     0       0      
  1-148601    164.889012935   49.9854637595      0.0233101   511.8760802500042    632.5878594387282    0.09050445103857567     0       0      
  1-148855    166.075042353   50.0341044982      0.0239641   198.64295815653833   203.67412141019656   0.5037991410637594      0       0      
  1-148893    166.408563733   50.3504230793      0.0693912   ""                   ""                   0.0                     0       0      
  1-148914    165.776989011   50.3411804043      0.0214642   203.84013753958945   202.4760383430778    0.6854881266490765      0       0      
  1-148949    165.198265499   49.9018766228      0.0258115   386.23535677094395   408.54632588751195   0.1601423487544484      0       0      
  1-148954    164.971102678   50.0152009606      0.0257135   432.507987229888     409.74440895463067   0.040376850605652756    0       0      
  1-149054    165.40834058    50.8322152847      0.0219341   204.38250127676181   212.0607028800282    0.7090196078431372      0       0      
  1-149067    165.833294654   50.7553074437      0.0208999   215.64141441960925   224.04153355121622   0.5673076923076923      0       0      
  1-149147    171.102653854   51.23494063        0.0271346   396.166134193951     430.1118210956504    0.02834008097165992     1       3      
  1-149148    171.090866189   50.94366468        0.0446923   ""                   ""                   0.0                     0       0      
  1-149200    168.73450562    50.334872965       0.047134    239.3538368402662    237.22044728952304   0.15353881278538814     0       0      
  1-149211    168.947799683   50.4016342163      0.0473068   322.8674828309894    324.6805111891957    0.48812095032397407     1       4      
  1-149235    169.346247668   51.013378051       0.0464368   227.23534528539543   220.44728434985979   0.43391812865497076     0       0      
  1-149270    168.300903481   50.2645926072      0.115761    263.77652643645604   471.44568691124914   0.9973238180196253      0       0      
  1-149277    167.98139033    50.0838502624      0.0234202   216.64047202369204   218.9496805159613    0.09131075110456553     0       0      
  1-149532    171.718323494   50.5423825522      0.0233158   244.57899619208501   243.2108626251171    0.2681660899653979      1       2      
  1-149572    171.383699396   51.1804088108      0.0271269   236.33145871232307   243.21086262511707   0.7336683417085427      0       0      
  1-149580    170.803434791   51.1858847796      0.048674    242.01277955799827   257.8873801973224    0.11428571428571428     0       0      
  1-149586    170.516427569   50.8151214777      0.0280109   ""                   ""                   0.0                     0       0      
  1-149593    170.70809677    51.2077081692      0.026114    ""                   ""                   0.0                     0       0      
  1-152566    116.526085294   29.2108610114      0.0229121   196.08853430956248   200.07987220884016   0.5269865067466267      0       0      
  1-152567    116.511679886   28.878071563       0.0397552   207.69480695747666   215.65495208138458   0.6847195357833655      0       0      
  1-152587    116.239350213   28.9275044259      0.0234717   209.0998749872007    214.4568690142658    0.23488562091503268     0       0      
  1-152596    116.835692191   29.4129340233      0.0625398   237.7901115197309    225.23961661833502   0.2428793371310202      0       0      
  1-152618    115.963601541   28.3577842123      0.106332    ""                   ""                   0.0                     0       0      
  1-152719    116.605086099   30.4404922234      0.0553666   297.2444089521751    302.51597444749785   0.07194244604316546     0       0      
