mangaid,plateifu,nsa_z,flux,FWHM km/s,D_L Mpc,D_L cm,L erg/s,Given D_L Mpc,Given flux,Their Lum
1-25937,7991-12705,0.113153,797.6747586184365,323.25269552359435,525.4,1.621216272e+27,2.634617800362981e+41,367.7903,788.4548,2.6041654551780646e+41
1-548024,8132-6101,0.129403,1289.819077503796,394.4879604426494,607.3,1.873933464e+27,5.691765432134073e+41,425.0809,1110.887,4.902166773532247e+41
1-73638,8244-12704,0.115137,2923.102727834071,304.4869989721957,535.3,1.6517645039999995e+27,1.0021903121453869e+42,374.7274,2857.874,9.798265414552907e+41
